
192.168.54.1|October 31, 2013, 3:18 pm|Clicked vote button without choosing an item
192.168.54.1|October 31, 2013, 3:18 pm|Enters Poll
UNKNOWN|October 31, 2013, 7:58 pm|Enters Poll
UNKNOWN|October 31, 2013, 7:59 pm|Vote received on Fiat
UNKNOWN|October 31, 2013, 7:59 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 7:59 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:01 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:01 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:01 pm|Vote received on Bugatti Veyron
UNKNOWN|October 31, 2013, 8:01 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:01 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:01 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:01 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:05 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:05 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:23 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:23 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:23 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:23 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:24 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:24 pm|Enters Poll
UNKNOWN|October 22, 2014, 1:41 pm|Enters Poll
UNKNOWN|October 22, 2014, 1:41 pm|Vote received on Fiat
UNKNOWN|October 22, 2014, 1:41 pm|Enters admincenter
::1|November 18, 2014, 4:44 pm|Enters admincenter
::1|November 18, 2014, 4:55 pm|Enters admincenter
::1|November 18, 2014, 4:56 pm|New poll was created with question: Which movie you want to download?
::1|November 18, 2014, 4:01 pm|Enters Poll
::1|November 18, 2014, 4:01 pm|Vote received on Hulchul
::1|November 18, 2014, 5:39 pm|Enters Poll
::1|November 18, 2014, 5:44 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 5:44 pm|Enters Poll
::1|November 18, 2014, 6:38 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 6:38 pm|Enters Poll
::1|November 18, 2014, 6:39 pm|Vote received on kokowawa
::1|November 18, 2014, 6:42 pm|Views results
::1|November 18, 2014, 6:42 pm|Views results
::1|November 18, 2014, 6:42 pm|Views results
::1|November 18, 2014, 6:42 pm|Enters Poll
::1|November 18, 2014, 6:42 pm|Vote received on kokowawa
::1|November 18, 2014, 6:43 pm|Views results
::1|November 18, 2014, 6:43 pm|Enters Poll
::1|November 18, 2014, 6:43 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 6:43 pm|Enters Poll
::1|November 18, 2014, 6:43 pm|Vote received on kokowawa
::1|November 18, 2014, 6:43 pm|Enters Poll
::1|November 18, 2014, 6:43 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 6:43 pm|Enters Poll
::1|November 18, 2014, 6:53 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 6:53 pm|Enters Poll
::1|November 18, 2014, 7:02 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 7:02 pm|Enters Poll
::1|November 18, 2014, 7:20 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 7:20 pm|Enters Poll
::1|November 18, 2014, 7:20 pm|Enters Poll
::1|November 18, 2014, 8:21 pm|Enters admincenter
::1|November 18, 2014, 8:21 pm|WRONG PASSWORD ENTERED IN ADMINCENTER
::1|November 18, 2014, 8:21 pm|Enters admincenter
::1|November 18, 2014, 8:22 pm|New poll was created with question: how are you?
::1|November 18, 2014, 7:23 pm|Enters Poll
::1|November 18, 2014, 7:23 pm|Vote received on Fine
::1|November 18, 2014, 7:23 pm|Views results
::1|November 18, 2014, 7:23 pm|Views results
::1|November 18, 2014, 7:23 pm|Enters Poll
::1|November 18, 2014, 8:33 pm|Enters admincenter
::1|November 18, 2014, 8:35 pm|New poll was created with question: do you believe? 
::1|November 18, 2014, 7:35 pm|Enters Poll
::1|November 18, 2014, 8:36 pm|New poll was created with question: do you believe? 
::1|November 18, 2014, 7:36 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 7:36 pm|Enters Poll
::1|November 18, 2014, 7:39 pm|Clicked vote button without choosing an item
::1|November 18, 2014, 7:39 pm|Enters Poll
::1|November 19, 2014, 3:04 pm|Enters Poll
::1|November 19, 2014, 3:12 pm|Clicked vote button without choosing an item
::1|November 19, 2014, 3:12 pm|Enters Poll
::1|November 19, 2014, 3:28 pm|Clicked vote button without choosing an item
::1|November 19, 2014, 3:28 pm|Enters Poll
::1|November 19, 2014, 4:28 pm|Enters admincenter
::1|November 19, 2014, 3:29 pm|Clicked vote button without choosing an item
